Date,Open,High,Low,Close,Volume,Adj Close
2015-11-09,192.169998,192.169998,192.169998,192.169998,000,191.051287
2015-11-06,194.029999,194.029999,194.029999,194.029999,000,192.90046
2015-11-05,194.080002,194.080002,194.080002,194.080002,000,192.950172
2015-11-04,194.259995,194.259995,194.259995,194.259995,000,193.129116
2015-11-03,194.880005,194.880005,194.880005,194.880005,000,193.745517
2015-11-02,194.350006,194.350006,194.350006,194.350006,000,193.218604
2015-10-30,192.070007,192.070007,192.070007,192.070007,000,190.951878
2015-10-29,193.00,193.00,193.00,193.00,000,191.876457
2015-10-28,193.059998,193.059998,193.059998,193.059998,000,191.936105
2015-10-27,190.789993,190.789993,190.789993,190.789993,000,189.679316
2015-10-26,191.279999,191.279999,191.279999,191.279999,000,190.166469
2015-10-23,191.649994,191.649994,191.649994,191.649994,000,190.53431
2015-10-22,189.550003,189.550003,189.550003,189.550003,000,188.446544
2015-10-21,186.440002,186.440002,186.440002,186.440002,000,185.354648
2015-10-20,187.509995,187.509995,187.509995,187.509995,000,186.418411
2015-10-19,187.779999,187.779999,187.779999,187.779999,000,186.686844
2015-10-16,187.720001,187.720001,187.720001,187.720001,000,186.627196
2015-10-15,186.869995,186.869995,186.869995,186.869995,000,185.782138
2015-10-14,184.119995,184.119995,184.119995,184.119995,000,183.048147
2015-10-13,184.979996,184.979996,184.979996,184.979996,000,183.903141
2015-10-12,186.240005,186.240005,186.240005,186.240005,000,185.155816
2015-10-09,186.00,186.00,186.00,186.00,000,184.917207
2015-10-08,185.860001,185.860001,185.860001,185.860001,000,184.778023
2015-10-07,184.240005,184.240005,184.240005,184.240005,000,183.167458
2015-10-06,182.699997,182.699997,182.699997,182.699997,000,181.636415
2015-10-05,183.360001,183.360001,183.360001,183.360001,000,182.292577
2015-10-02,180.059998,180.059998,180.059998,180.059998,000,179.011784
2015-10-01,177.50,177.50,177.50,177.50,000,176.46669
2015-09-30,177.139999,177.139999,177.139999,177.139999,000,176.108785
2015-09-29,173.809998,173.809998,173.809998,173.809998,000,172.798168
2015-09-28,173.589996,173.589996,173.589996,173.589996,000,172.579448
2015-09-25,178.110001,178.110001,178.110001,178.110001,000,177.073139
2015-09-24,178.190002,178.190002,178.190002,178.190002,000,177.152675
2015-09-23,178.789993,178.789993,178.789993,178.789993,000,177.749173
2015-09-22,179.149994,179.149994,179.149994,179.149994,000,178.107078
2015-09-21,181.380005,181.380005,181.380005,181.380005,000,180.324107
2015-09-18,180.559998,180.559998,180.559998,180.559998,000,179.508874
2015-09-17,184.50,184.50,184.50,184.50,000,182.472528
2015-09-16,184.940002,184.940002,184.940002,184.940002,000,182.907695
2015-09-15,183.339996,183.339996,183.339996,183.339996,000,181.325271
2015-09-14,181.009995,181.009995,181.009995,181.009995,000,179.020874
2015-09-11,181.75,181.75,181.75,181.75,000,179.752747
2015-09-10,180.880005,180.880005,180.880005,180.880005,000,178.892313
2015-09-09,179.919998,179.919998,179.919998,179.919998,000,177.942855
